post_id,pickup_location,dropoff_location,pickup_time,available_seats,price_per_seat,additional_info
026ba38d-0ddb-4c85-834d-4f192baa5d1e,Waterloo,Toronto,"2058-12-28 06:12:09",1,43,iIWiURkeLudmMEyBGNsRrydTOHbjqvrCRMLuwjUgOyecIwHTIkyJzGpIrBoaJEzfprKXpDaGVyLlAmGyCyFCZZMoAsisrwTCVDbIwbnNOJFkwpSUQzqiSpPs
02bfec72-58cf-4c87-9566-e55b8abdd531,Waterloo,Toronto,"1990-06-21 08:28:14",4,87,KAPxjNfljfUoyxyMprknnVHqSXMgPokCSgoVvuXkfIUubeqameCdDzfIkkUUoqQVwNEbyMCjRzzSEBTPviFlWdyumbjHlkOeOhlqWMVEVyRSHISPJBdJPQzn
03a9c84e-5102-45c8-9ac3-69773efc3294,Waterloo,Toronto,"2037-12-31 23:45:28",2,93,odLVANpweauiSNGKgOUXVpumZYVzCEByStOeXuLAPIZrKgGFMkmlanzDnxKUQUSMCjbZItpSiLkZsjEYbBzBqZlMiOxRrAVqUBedQhKOiNFYfhxFhRryRozw
06e693fa-93e7-4dbb-bccd-ac9c352234a1,Waterloo,Toronto,"2005-09-28 23:34:10",4,55,YyIgFpYIjEyZXQsvPLArjXZbaeCYXriwKgrSCPNKWwRybjCXRcTWLoDUkPzvVcEwTcmeoNDJVNAlSvKoEIYLDnaQeqFtlkSnhYjcdQoLOSrhjqwwvXBieKea
0cf21b45-6d37-4a49-a7e7-33b18557cebc,Waterloo,Toronto,"1972-08-23 10:42:15",3,1,YhTYYbqFLHIKeytWRPFCCcSJjTOKnxACrGQgzEcoADtUvnqKyyOlzdyRFsLraqYNCXqMobvGrFkcntfQAhGrqnQRizVCZGGVbcVSliZHSnZCxjCpeGaLaAZf
11f60aed-00f9-4aec-84ca-f03d974055e2,Waterloo,Toronto,"1991-07-01 11:03:03",2,3,eHHYGcBynvHkkXxgFfDUUytglaLdndpDFruVuLkVVqoTnjrdMgHkDmQuhhvAKOVIVwoKIDfzmkYEglatpwBYwACXpfiOwvtKgGHkAHTDsisAapyEpAjRLaMt
11f66ed0-0e0b-4c79-a204-afd0a01dbd3a,Waterloo,Toronto,"2008-02-15 13:51:39",4,84,BqAUoBFsuQYEVineaJSGZdYtlVWJFQUNoVvikVIwMVAiLKLGOnJuLWxJICZJYbfciEMpVXkvRaWBgfefGAaNBqbkyqHtjAIWwQBYDxFQsSPcHtlHjCFwvTil
1e0f765c-3360-415e-b15e-a9d7f9deec12,Waterloo,Toronto,"1994-01-08 09:25:07",4,4,pUhqNOjKhckHuROpfoOYBKJGLKpxCDqCRooLtMlCYFQTDrFjiPldgMFcmpJflysKcUCMuviKYnKduyxvKwzoogvgaQwRMWYMHKZxQxjFoKAGvSPDsSwpLezH
23aaa43a-24a4-43e3-a7eb-fb93ad63d4a4,Waterloo,Toronto,"2063-03-06 01:32:40",3,56,fOKUvxoeKMiQeiDMgksDqEfgmdsfVquGWJCxvEXsbVKBhoTXBbSynTgJfhXkVJEWNFcfTaqeBItOJpZxJFyhliSRGFejTrZbzlrEplUZxdoZQnhcntkHBMWn
26944521-8098-4edd-94ff-f44af9837372,Waterloo,Toronto,"1990-11-10 21:29:01",3,64,qVZAwFJWWjhFcAjvuXEtvlbnVlPyQymrHQFNOplXbaTyGyvFWDhxWlXNENFOdGybTnUoiRFQprvOwszcxugXWaNCnoeqslQJShcVbTlqojsYHabbibWzQJMj
27f35070-23dc-4f2a-89f0-c1f1718f00d2,Waterloo,Toronto,"1992-10-11 10:17:36",2,47,nidsTZiNrugNzbMQhbvniEJWCkVceovVKnSwfhhmKJOYXVpcFwrcixahmHgAcSyGRUYjgFprcBRknJiKSEuGsluxKLeINCGSSkBLkpolOWJqDQhrEBMJYpTT
296f0724-d0d8-4a36-bda8-ad8346914e4f,Waterloo,Toronto,"2070-03-06 08:05:03",3,60,nqCjfjzKEstfJYLyFJQpXYZvWLChZBjRdOQvAVckRgimfIxOeWgbHEltWAFyWxICrZpXzsyicUCnfXimERkdfuFoDxzOYbFVVyMuoKgIwjWhpwoTkejLoCmZ
29dba2e4-dee4-48b9-861f-249ca9acd7af,Waterloo,Toronto,"2008-03-05 20:28:45",1,30,NlykZqRRKeRSzFHzLEgkgJMeCbnrIJWEBFLNPzXlzarvDKUaZqmHcTvDSpbzSUWSHYPnBVPDVsGcgrRKIdxlYteAaZlylrHTilsHJOoKxSMQMljANrLdqrXz
2a45a867-3af5-48d8-acef-b92f3968832c,Waterloo,Toronto,"2031-11-09 21:15:07",1,19,mbfmRoEtmPcuGKjErbRWddULUrKNKDoLJTAhNxbzOmRqHXRtgngsHLhhSRwsSCJpUjhDutbGmUycddVYhHCJbymvsNseEuPDigjWacCfkjCOvBBxXAGIECgZ
2dd3a228-855b-46e6-91a5-7e70d7b569e1,Waterloo,Toronto,"1990-03-17 08:34:37",4,50,OiACvffDjRQFwClvDzkQrgmhxznPDEdpzuNDSbeNiIsvnlGFyNoUkcKBPWSmDQVPvlynYJLaMQxyPzBIzjKwhYqDKCopZQrePLEPmgvOrTAuTPlyYwcfIRaC
3745dbcb-9b7f-4be3-b91c-ffdfe753f50f,Waterloo,Toronto,"2042-01-21 15:50:27",1,98,OGdQNBxMfXvwQendIpvzMkSjnAQbboTgBDIvOksBsfpKxabuaqhbuTBNYmwbyZbUKeKGFNuhHPUwIFNYZSikymCmQmKWJZxIGVCZLUnyLqtmkeMokKJWotAb
3cc94aea-5a02-4c27-80c1-ff889df02360,Waterloo,Toronto,"2047-11-22 20:34:36",2,87,ZKUqlUlSXDbuJUHgownYmdikvmuoFeXanvguVMfPGfmRHlVliTSbqaHXURCnYAAhoAtcMAnMrPixXinGgxceCyPLSQjcYUdPyRWVmNpnRjPcLpRCGArpEqKn
3e762a6b-c78f-4d71-a0da-05d9825bacde,Waterloo,Toronto,"2071-12-14 04:36:19",3,71,tDQyfdthwCLBMNrWhRsILEpwKKMjZUZOQMPIFEIyLpdLcMSuwaKnwqDNqdXPdtlVglLOvqfUAxgvufGXnmOZeGgBahPvGAWxbmnLXOOxorMUKoSKxyDvOejj
46f7910a-9284-4465-b1a7-4ec9a92d614c,Waterloo,Toronto,"1985-10-04 21:17:34",2,23,PMuJciBtsjsMdQHnbAQsLvJBjblZrHzElemYePCUKzbmiqYKvRpuMqBGUvmdCHQUZxxOaWPkeCYaVdcYdHmnNTaVGWVdMyqieMeqORVprEhLynucfZsMgZhl
4d7b9118-a7c7-4b88-9fd2-f9a1911ce03b,Waterloo,Toronto,"2049-08-13 15:35:59",2,3,ZujQXGTdvrpeQuVZWpUThTRMgPCogDmJJbOjkaVSJbxGvfxIcqOEmoorvfLEIvQoDWzaCjLkNynHCsYUyHmClrzteywvrHRpZxTdofSaBcYfImjnymAgXFjC
53cc167d-feb9-4074-a18d-6020aeb2eb31,Waterloo,Toronto,"2009-12-09 10:26:44",4,53,CIjjfVPplQBSCmhHDxliyVicKoTPdSFSVLhIJuIRXPsUSiTJFOWfhmKkntGJIIrJzTenlaHACNIQSCyBTYLHrWNxAkdoHPBHkamaJNopTAHcWfFjDZmYnORA
563674ed-5b25-497b-bd71-9843889fd64d,Waterloo,Toronto,"2003-03-07 19:29:42",1,36,lSaGizeQqfMifsCnkFzWlwsARkvQzvOcZVRUaQKXvWFxVTkYgXyogzuUchEIlfINFtcFZxYXDlQntAbKVZLLOxRMgilejxUBDvpoLHMyNEtsltSpdGKvMIbo
57549f16-36a3-46d2-871b-3e53addbdb14,Waterloo,Toronto,"1983-09-29 07:57:37",4,5,NYERgIQUPbeoJbJsnPROsWRoOmEEBBcOYpxBSvgABzrcuqQgfMXaGfbSJwsljmziHSPUrFxkwclMIGucmQtcJLgPaiczWATlMIkJiyZJbGOeXdYADXMNPAmy
5b41a305-b334-4c3d-a111-c11aac24f7b6,Waterloo,Toronto,"2009-04-25 22:17:01",2,71,omvUAefaIQAUPgSSwiVtrlwcztrRQcSdqUFcafwLeqIFZabxZViJhhrVQcjYAWHuthfrOmqmzybGxEpZcvVMnStPOQMhJPFDViHKGVirkcKTJXSvwCIrrqUD
5f96e7f4-63a2-4f4d-94dd-85a50e9e1a7b,Waterloo,Toronto,"2062-05-28 23:11:57",4,14,saiZOJJOYvpnCiFGuPoABmCWkzAsxSuZFvCTIiMBthfdlxtgrUPAifrMEZdfbYsrIbDzMMqNLULaIglpVDPYKZylWATyWzelYVWlKtwiOJeBOwjnRfJWWfAE
63c0c5b7-58b8-4745-bf1d-b2dc16fdbda9,Waterloo,Toronto,"2051-06-28 21:30:10",1,78,EHjmJljzuTcgrgfrrbJPrUzrJDFNxpAQrumUSKIZCVdgqZHvHOiEpdcDQczVRgvrPlpTZeZiNSfVTxvvbOQBTNJCSphxsdaXULbKMYRVeYTrFOxpHQMPHgjr
647037a8-6a13-4388-9c19-5ce9292a29f4,Waterloo,Toronto,"2067-04-26 23:29:43",3,2,GneNodhmbKvAjHGJvQIGDLWzDeKZqgfMipOQZHTpwUydrqVkvFpvvFitnDNDMBOZAMLHveRLTdHRckDRepqvnSCzQeAxZCNWaRcIILJSasKJYPBDQagRTZyk
66fc8936-2f26-41af-9870-ac0011aa3e2d,Waterloo,Toronto,"2072-08-21 01:13:46",1,90,DQpSuuQZhQJblsfpyBqQSvkBwPvCLtUjOaKDDgUPyPJiOMiiJoHaMZXqIzLftOAqHgMYSJrawuiTMAzczlNHYQyfINDIiRlTxeYgdoeTqqhytCkZAJvdRTlT
6a16ba1c-d4aa-4bfe-91a7-435b8b3aec8c,Waterloo,Toronto,"2064-04-05 19:29:16",3,57,cGXRqsimgDueBdQSOmWPuAGWATIoDAyzxpMpdQQqGOymMaNCVXlaAojRAjNgbpImOvTxaXnkOoZQFcSwwCexTKEOJNQJumFEPrAYObxkRrJaMYJOrTVSoPlr
6da892f8-f7b4-4fc4-b1f2-fa5c148334a6,Waterloo,Toronto,"2016-08-22 05:43:43",2,62,lDSIJiTFnKgRxqVEIZRuYTgmyzhvMhKjokbBnShDzyYSaExeWGsrmJwKVjCvwpaxibVocREKUFzwQHHtPfNygtJFMiAsTKteSsplOqtSHwGaKjFlHPpVOdPh
74c88d0f-3644-45ec-a986-cb11499ce40c,Waterloo,Toronto,"2005-03-16 17:16:20",1,99,WAwlyAJYWrNypzIjetFPzlkzjTtOLnzqlmCrsINrmbPtVEQIcuNLHCWeuOyCVCLWmpczDVUMMUiJRKhRrpXTWfUpSdteAPtuzrQyXvhyICcQcJSeuhNojzQP
7a1bae07-927d-4567-84b0-c89f463f2e87,Waterloo,Toronto,"2009-06-15 13:04:08",2,8,vOnyVxoynXMCDxQUxnpEQegrBPsMTOapBxUVYOOcpWOXmiCYVXanhfXuhWrxebqqgaMtQWCxPAyIXTNdzWDHFTwRcynhBRbADeXQmPIahHvycDdwXwCkSkYp
7a4e177e-9993-4a4a-83db-36a0a6998f2b,Waterloo,Toronto,"2068-01-05 09:53:43",4,47,nuUHSsSfmuyYksVJPpfogMlljfRKlyCoNcEoAYDzzGVssrSQpIlezLbvbtDiFoZRyJmfjhbdUGTYKVfPNjOroiAzFFCyKDWtxWimpLtfaWfZvHHIvUYAMbng
7b3d1246-c305-4318-b7a1-641f7931639d,Waterloo,Toronto,"1979-08-05 07:29:09",1,58,XWZdOLgBXwWVSSYsXkYdZRQUfZCMwlElnZEJkUDdgEMuOsVEKesTSGPcaGefKXDzUtGnTOozvjKMQdwiYqZTIZGPLTWhUyarMofKmpMAJqhHOccGxllTymFC
